Kritik dan Saran,Klasifikasi
Jangan jadi dosen lah,Kurang
"Dosenya jarang masuk jadi gak tau pelajarannya yampe mana , semoga lebih baik lagi ya jadi sering masuk :)",Kurang
"Tidak pernah masuk waktu jam mengajar, pernah sekali mengajar dengan sistem tatap muka dan pertemuan selanjutnya juga tidak masuk",Kurang
"Banyak tugas tiap minggu, kurangi aja tugasnya",Kurang
Jangan suka bikin tegang dalam pembelajaran pak :v nggada persiapan tau² di test satu - satu wkwkwkwk,Kurang
Tidak ada hehe,Kurang
Jarang masuk kelas untuk ngajar,Kurang
Jarang menjelaskan materi,Kurang
No comment,Kurang
Tugasnya dikurangin,Kurang
Pertahankan,Kurang
Jarang masuk,Kurang
jarang menjelaskan materi karena sibuk,Kurang
Memberikan kuis sesuai dengan materi,Kurang
"jangan pelit kasih nilai bu, hehe",Kurang
"Ngomongnya halus banget, kurang tegas",Kurang
Ngga ada,Kurang
"Kalau menjelaskan materi kurang mendalam,contoh saat menjelaskan soal latihan lewat gmeet tidak menjelaskan tutorial menyelesaikan",Kurang
Ada beberapa materi yang tidak ada atau tidak dijelaskan,Kurang
Ketika dihubungi mahasiswa masih kurang tanggap,Kurang
Semoga diperbaiki lagi saat waktunya matkul itu harus ada kepastian dulu biar mahasiswa nya gak nunggu lama lama.,Kurang
Terlalu cepat saat menjelaskan materi,Kurang
Saat menjelaskan materi jangan terlalu cepat,Kurang
Sarannya berilah materi saat jam mk berlangsung jika ibu berhalangan hadir,Kurang
Tdk ada,Kurang
Perbaiki lagi metode pembelajarannya,Kurang
"Mohon maaf, Ketika dalam menyampaikan materi via video terlalu pelan sehingga terkadang membuat saya merasa cepat bosan mendengarkan materi. Terima kasih",Kurang
Jarang hadir di jam perkuliahan. Tetapi cukup dalam menyampaikan materi yang akan ada saat UTS/UAS,Kurang
Perbaiki lagi metode perkuliahannya,Kurang
diharapkan dalam mengajar tepat waktu,Kurang
Perbaiki lagi metode perkuliahannya,Kurang
materinya sulit dipahami,Kurang
"Dosennya enak cuma jarang masuk kelas ,akan lebih baiknya lagi diperbaiki ibu",Kurang
ngga ada face to face (semua dijelaskan via yt) jadi banyak yg ngga paham,Kurang
"Diharapkan dalam mengajar menggunakan media lain selain youtube, misalnya setiap minggu ada kelas via online lewat google meet. Dan juga dalam memberikan nilai jangan pelit dan disamaratakan nggih ibu:) setidaknya sesuai dengan kerja keras/usaha mahasiswanya. Terimakasih",Kurang
Jangan cepet cepet menerangkannya,Kurang
Dalam menjelaskan materi di harapkan tidak terburu buru,Kurang
Dalam menjelaskan materi yang disampaikan tidak secara buru buru,Kurang
Mohon luangkan waktu untuk mengajar,Kurang
Jika menjelaskan mohon agar di perjelas lagi,Kurang
Semoga kedepannya lebih baik lagi,Kurang
Kurang dalam menjelaskan materi yang di sampaikan,Kurang
"Jarang masuk memberikan materi ke pada mahasiswa nya jadi terkadang mahasiswa belajar sendiri, dosen hanya memberikan tugas saja ",Kurang
Kadang terlalu cepat dalam mengajar,Kurang
Saat menjelaskan materi,Kurang
Semoga kedepannya dosen memberikan bekal materi agar tidak berpatokan pada makalah perkelompok saja yg dipresentasikan setiap pertemuan walopun dosen juga menjelaskan tetapi butuh materi tambahan juga dari dosen nya dalam bentuk file,Kurang
Sebaiknya saat MK mengisi waktu luang untuk gmeet,Kurang
Tidak ada saran,Kurang
"Lebih transparan dalam pemberian nilai di uts kemarin, karena banyak mahasiswa yg mengeluhkan jawaban sudah benar sesuai materi tetapi nilai direntang 70 ke atas",Kurang
"Maaf sebelumnya, tolong ketika menyampaikan materi lebih tertata jelas dan rapi serta lebih disiplin lagi dalam mengajar",Kurang
"Maaf sebelumnya,Lebih menarik lagi ketika membuat bahan ajar agar dapat cepat dimengerti",Kurang
Kalo ga masuk seengaknya ngasih tugas.,Kurang
Harus lebih disiplin lg ketika pembelajaran dimulai dan seharusnya dosen lebih mudah dihubungi untuk konfirmasi pembelajaran,Kurang
Dimohon untuk meluangkan sedikit waktunya untuk memberikan materi untuk para mahasiswa.,Kurang
No coment,Kurang
Kasih tugas yang tidak terlalu susah,Kurang
"Saran misalkan sudah dimulai pembelajaran online, sering sering melihat Gmeet, barang kali masih ada mahasiswa yang belum di ACC",Kurang
"tolong ofline apabila online pun harus diberi kuota semua mahasiswa,jangan ada yang dapet ada yang engga",Kurang
Saran saat pembelajaran jangan membuat suasana tegang saat pembelajaran :),Kurang
Kadang suka memberikan soal yang sulit dibandingkan dengan contoh soal yang dijelaskan,Kurang
"Jangan terlalu banyak memberi tugas vidio,karna untuk kelas malam sulit untuk mencari jam dalam pengerjaan tugas",Kurang
