Kritik dan Saran,Klasifikasi
jangan jadi dosen lah,0
dosenya jarang masuk jadi gak tau ajar yampe mana moga lebih baik ya jadi sering masuk,0
pernah masuk waktu jam ajar pernah sekali ajar sistem tatap muka temu lanjut tidak masuk,0
banyak tugas tiap minggu kurang aja tugas,0
jangan suka bikin tegang ajar pak v nggada siap tau test satu satu wkwkwkwk,0
ada hehe,0
jarang masuk kelas ngajar,0
jarang jelas materi,0
no comment,0
tugas rangin,0
tahan,0
jarang masuk,0
jarang jelas materi sibuk,0
beri kuis sesuai materi,0
jangan pelit kasih nilai bu hehe,0
ngomongnya halus banget kurang tegas,0
ngga,0
kalau jelas materi kurang dalam contoh jelas soal latih lewat gmeet jelas tutorial selesai,0
beberapa materi atau tidak jelas,0
hubung mahasiswa kurang tanggap,0
moga baik saat waktu matkul harus pasti dulu biar mahasiswa nya gak nunggu lama lama,0
terlalu cepat jelas materi,0
jelas materi jangan terlalu cepat,0
saran ilah materi jam mk langsung ibu halang hadir,0
tdk,0
baik metode ajar,0
mohon maaf dalam sampai materi via video terlalu pelan terkadang buat rasa cepat bosan dengar materi terima kasih,0
jarang hadir jam kuliah cukup sampai materi akan saat uts uas,0
baik metode kuliah,0
harap ajar tepat waktu,0
baik metode kuliah,0
materi sulit paham,0
dosen enak cuma jarang masuk kelas lebih baik baik ibu,0
ngga face to face semua jelas via yt jadi banyak yg ngga paham,0
harap ajar guna media selain youtube misal minggu kelas via online lewat google meet juga beri nilai jangan pelit disamaratakan nggih ibu sesuai kerja keras usaha mahasiswa terimakasih,0
jangan cepet cepet terang,0
jelas materi harap buru buru,0
jelas materi sampai cara buru buru,0
mohon luang waktu ajar,0
jelas mohon di jelas,0
moga depan lebih baik,0
kurang jelas materi di sampai,0
jarang masuk beri materi pada mahasiswa nya jadi terkadang mahasiswa ajar sendiri dosen beri tugas,0
kadang terlalu cepat ajar,0
jelas materi,0
moga depan dosen beri bekal materi tidak patok makalah kelompok yg presentasi temu walopun dosen jelas butuh materi tambah dari dosen nya bentuk file,0
baik mk isi waktu luang gmeet,0
ada saran,0
lebih transparan beri nilai uts kemarin banyak mahasiswa yg keluh jawab benar sesuai materi nilai rentang 70 atas,0
maaf belum ketika sampai materi lebih tata jelas rapi lebih disiplin dalam ajar,0
maaf belum lebih tarik ketika buat bahan ajar dapat cepat erti,0
kalo ga masuk seengaknya ngasih tugas,0
lebih disiplin lg ajar mulai harus dosen lebih mudah hubung konfirmasi ajar,0
mohon luang sedikit waktu beri materi para mahasiswa,0
no coment,0
kasih tugas tidak terlalu susah,0
saran misal mulai ajar online sering sering lihat gmeet barang kali ada mahasiswa belum acc,0
ofline apabila online harus beri kuota semua mahasiswa jangan yang dapet yang engga,0
saran ajar jangan buat suasana tegang ajar,0
kadang suka beri soal sulit banding contoh soal jelas,0
jangan terlalu banyak beri tugas vidio karna kelas malam sulit cari jam kerja tugas,0
jangan terlalu cepat dlm jelas materi,0
sibuk sekali bos,0
terlalu sat set,0
pernah masuk,0
terlalu ribet urus pribadi uppssiiie,0
harap ibu sering ajar kelas tidak tinggal kelas,0
materi youtube terosssss wkwkwkwkwkw bgt pokok,0
terlalu lama ngomong gmeet akhir ngantuk,0
jarang masuk,0
gmeet volume rada kerasin pak kecil banget pak soal volumen gmeet nya lebih jelas pak jangan terlalu cepat,0
jujur mahasiswa ajar memang lah boleh keluh alas ambil jam malam ada alas jujur rasa beban ada tugas akhir matkul rasa lelah kerja vocab tidak hari punya kuota memang semua laku kita usaha saya rasa cukup akhir matkul terimakasih,0
lebih jelas ibu jelas materi,0
jarang masuk kelas tidak ngasih materi,0
maaf pa jangan terlalu cepat jelas hehe,0
lebih konsisten dalam kuliah kelas h awal awal beri materi itu beri materi,0
beliau jarang sekali jelas materi saya memang bisa laku jelas daring file materi akan bahas dishare jadi walalupun beliau laku meeting online kita tahu materi,0
jarang kasih materi jarang meeting moga depan lebih bagus yaa,0
ajar harus tugas ajar bikin mahasiswa mengsedih ngga kasih materi tau2 uji ngga tau apa2,0
komting sudah usaha hubung dosen responnya nihil materi ikan 1 kali upa pot di awal kuliah itusangatlah kurang sekali hadap uas materi kuliah dan temu onlinepun tidak pernah jadi,0
sampai materi terlalu singkat kadang kendala paham materi,0
lama pandemi sulit kuasa materi bapak ikan,0
jadwal bahasa inggris jam 6 7 kelas ekstensi susah ngejar waktu,0
daring buat kurang kuasa materi,0
sayang cuma sampai tengah semester,0
tdak,0
daring buat kurang kuasa materi,0
daring buat kurang kuasa materi,0
saran hanya satu lebih perhati baik kena waktu,0
ada modul saran jika memang sistem ajar gun mahasiswa presentasi baik waktu lebih perhati,0
perhati waktu harap lebih mudah hubung jadwal mata kuliah,0
lebih baik sistem ajar lebih tarik agar bosan dan untuk bahan ajar lebih perhati agar mahasiswa lebih paham,0
butuh materi ibu,0
sampai materi terlalu singkat kadang kendala paham materi,0
dosen sampai materi kurang jelas sehinggan sulit paham sulit hubung,0
sampai materi terlalu singkat kurang paham materi,0
sampai materi kurang jelas ada beberapa sulit paham,0
sekal laku tatap muka,0
sekal laku tatap muka,0
untuk masuk mk karna bagai mahasiswa tau apa akan ajar terima modul terima materi,0
saat mata kuliah tepat waktu sesuai jadwal,0
situasi kelas kurang senang timbul jenuh ajar,0
tidak offline sedikit sulit paham materi,0
sulit hubung meter tinggal,0
ada,0
mungkin saya saya rasa dapat materi mungkin memang mata kuliah fokus tugas lapang,0
materi bahas sangat sedikit lebih jelas,0
pernah hadir ajar kelas harus beri materi kalo bisa ada gmeet,0
kurang jelas ajar,0
kadang kurang jelas beri materi,0
jelek sekali,0
sering ada ajar offline tidak semua mahasiswa komputer,0
banyak ada ajar offline itu praktek semua mahasiswa,0
dosen sering susah hubung ada matakul sebut,0
telah daring baik contoh guna rumus cara file sudah buat dadak jelas gmeet di ikan mahasiswa matkul praktek jdi sempat tulis ada jelas luar catat langkah langkah modul,0
lama ajar dosen pernah masuk semat materi 2 temu pertama,0
baik ajar online sinyal lebih baik materi sampai lebih mudah paham,0
sampai materi lebih jelas mahasiswa paham baik,0
proses ajar lebih tarik mahasiswa bosan,0
lebih saling erti mahasiswa utama kelas malem,0
kirim materi lalu youtube saya kurang efektif mungkin mahasiswa jarang buka lihat,0
lebih tarik dalam sampai materi mahasiswa bosan,0
waktu kuliah kurang efektif,0
terlalu tegang,0
tidak masuk kelas baik dosen beri informasi jika beri tugas jangan dadak,0
baik ada mahasiswa kendala laku praktik baik lebih terang perlahan,0
jelas materi praktek jangan terlalu cepat,0
jelas materi jangan terlalu cepat,0
baik lebih mudah hubung jika halang baik konfirmasi dahi jauh jauh hari dadak,0
kalo mk otomatisasi kantor lebih baik ajar offline lebih mudah paham praktek langsung kalo online kadang ada bingung terus kurang fokus kendala jaring internetnya terimakasih,0
mk prak p akt 1 lebih baik laku offline lebih mudah paham ajar tatap muka langsung terimakasih,0
ibu jarang masuk kelas,0
kuis jangan terlalu mepet,0
mk jangan kosong ya bu,0
giat perkulihan depan harap kuliah daring penbawaan materi bosan,0
baik kalo ngajar laku langsung karna kalo pake daring kadang yang ngga mudeng,0
baik klo ajar offline jadi mudah paham bisa praktek langsung,0
kalo nang jangan cepet cepet bu biar paham,0
saya kalau terang daring kadang kurang paham,0
tugas terlalu banyak kelas malam minggu 2 3 tugas beri,0
depan harap metode ajar ubah lebih gampang paham mahasiswa turut kurang efektif susah paham metode lama laksana,0
kuliah offline tambah hanya dengar materi lalu kanal youtube sangat efektif saya,0
apa kabar ibu lama satu semester tidak kabar sama sekali moga ibu sehat baik baik,0
pelan pelan pak beri materi,0
pelan nggih bu sampai materi,0
awal sekarang pernah meet cuma ngasih materi bahas wa itu jarang,0
kalo ngajar jangan cepet cepet bu mahasiswa dya tangkepnya beda,0
dosen beri materi lewat gc pernah ada temu zoom gmeet,0
baik dosen tele tele jelas materi,0
baik jangan terlalu tegang dosen sedang sampai materi,0
baik sampai materi tele tele,0
baik sampai semua materi sama dosen aja jangan presentasi belum kita paham sama materi jelas mahasiswa presentasi,0
baik jangan terlalu tegang laku ajar jika tugas baik deadline nya 1 minggu jangan langsung hari itu,0
kurang paham materi jelas dosen sebut,0
baik laku ajar guna bahasa kurang kita paham,0
