Kritik dan Saran,Klasifikasi
Jangan jadi dosen lah,0
"Dosenya jarang masuk jadi gak tau pelajarannya yampe mana , semoga lebih baik lagi ya jadi sering masuk :)",0
"Tidak pernah masuk waktu jam mengajar, pernah sekali mengajar dengan sistem tatap muka dan pertemuan selanjutnya juga tidak masuk",0
"Banyak tugas tiap minggu, kurangi aja tugasnya",0
Jangan suka bikin tegang dalam pembelajaran pak :v nggada persiapan tau² di test satu - satu wkwkwkwk,0
Tidak ada hehe,0
Jarang masuk kelas untuk ngajar,0
Jarang menjelaskan materi,0
No comment,0
Tugasnya dikurangin,0
Pertahankan,0
Jarang masuk,0
jarang menjelaskan materi karena sibuk,0
Memberikan kuis sesuai dengan materi,0
"jangan pelit kasih nilai bu, hehe",0
"Ngomongnya halus banget, kurang tegas",0
Ngga ada,0
"Kalau menjelaskan materi kurang mendalam,contoh saat menjelaskan soal latihan lewat gmeet tidak menjelaskan tutorial menyelesaikan",0
Ada beberapa materi yang tidak ada atau tidak dijelaskan,0
Ketika dihubungi mahasiswa masih kurang tanggap,0
Semoga diperbaiki lagi saat waktunya matkul itu harus ada kepastian dulu biar mahasiswa nya gak nunggu lama lama.,0
Terlalu cepat saat menjelaskan materi,0
Saat menjelaskan materi jangan terlalu cepat,0
Sarannya berilah materi saat jam mk berlangsung jika ibu berhalangan hadir,0
Tdk ada,0
Perbaiki lagi metode pembelajarannya,0
"Mohon maaf, Ketika dalam menyampaikan materi via video terlalu pelan sehingga terkadang membuat saya merasa cepat bosan mendengarkan materi. Terima kasih",0
Jarang hadir di jam perkuliahan. Tetapi cukup dalam menyampaikan materi yang akan ada saat UTS/UAS,0
Perbaiki lagi metode perkuliahannya,0
diharapkan dalam mengajar tepat waktu,0
Perbaiki lagi metode perkuliahannya,0
materinya sulit dipahami,0
"Dosennya enak cuma jarang masuk kelas ,akan lebih baiknya lagi diperbaiki ibu",0
ngga ada face to face (semua dijelaskan via yt) jadi banyak yg ngga paham,0
"Diharapkan dalam mengajar menggunakan media lain selain youtube, misalnya setiap minggu ada kelas via online lewat google meet. Dan juga dalam memberikan nilai jangan pelit dan disamaratakan nggih ibu:) setidaknya sesuai dengan kerja keras/usaha mahasiswanya. Terimakasih",0
Jangan cepet cepet menerangkannya,0
Dalam menjelaskan materi di harapkan tidak terburu buru,0
Dalam menjelaskan materi yang disampaikan tidak secara buru buru,0
Mohon luangkan waktu untuk mengajar,0
Jika menjelaskan mohon agar di perjelas lagi,0
Semoga kedepannya lebih baik lagi,0
Kurang dalam menjelaskan materi yang di sampaikan,0
"Jarang masuk memberikan materi ke pada mahasiswa nya jadi terkadang mahasiswa belajar sendiri, dosen hanya memberikan tugas saja ",0
Kadang terlalu cepat dalam mengajar,0
Saat menjelaskan materi,0
Semoga kedepannya dosen memberikan bekal materi agar tidak berpatokan pada makalah perkelompok saja yg dipresentasikan setiap pertemuan walopun dosen juga menjelaskan tetapi butuh materi tambahan juga dari dosen nya dalam bentuk file,0
Sebaiknya saat MK mengisi waktu luang untuk gmeet,0
Tidak ada saran,0
"Lebih transparan dalam pemberian nilai di uts kemarin, karena banyak mahasiswa yg mengeluhkan jawaban sudah benar sesuai materi tetapi nilai direntang 70 ke atas",0
